,balcony,floor_num,total_area,kitchen_area,rooms_count,living_area,is_apartments,bedrooms_count,year_built,total_floor,district,hood,metro_name,metro_transport_type,metro_time,price
5946,1.0,33,424.0,,5.0,229.0,f,,,33,СЗАО,р-н Щукино,Щукинская,walk,18,299000000
1549,,16,41.5,10.7,1.0,,f,,,32,ЮВАО,р-н Рязанский,Стахановская,walk,4,14105020
2138,,10,73.0,6.1,2.0,51.4,f,,,23,ЦАО,р-н Басманный,Бауманская,walk,13,31536000
6784,0.0,4,297.6,31.5,6.0,166.4,f,,1890.0,4,ЦАО,р-н Арбат,Смоленская,walk,8,165000000
4346,,5,100.3,,4.0,,t,,,14,ЗАО,р-н Дорогомилово,Киевская,walk,8,87461600
4728,,5,92.0,18.0,4.0,68.0,f,,,19,ВАО,р-н Богородское,Белокаменная,walk,19,53000000
4387,,3,22.4,4.2,,10.2,f,,,18,НАО (Новомосковский),м. Улица Горчакова,Улица Горчакова,transport,7,6363885
5307,0.0,3,183.0,15.0,4.0,,,,1917.0,7,ЦАО,р-н Тверской,Трубная,walk,7,145081761
662,,2,41.84,,1.0,10.9,f,,,48,СЗАО,р-н Покровское-Стрешнево,Трикотажная,walk,9,13578463
7582,,3,32.61,,,16.3,f,,,27,СЗАО,р-н Покровское-Стрешнево,Трикотажная,walk,9,12645398
3041,,6,65.3,26.8,2.0,12.4,t,,,28,СВАО,р-н Отрадное,Отрадное,walk,8,19198200
7880,,1,28.7,,,,f,,,12,ЗАО,р-н Можайский,Сетунь,transport,7,7433300
5793,1.0,3,204.5,8.4,5.0,121.8,t,,,6,ЦАО,р-н Хамовники,Спортивная,walk,13,550049661
5550,,21,118.6,,5.0,79.9,f,,,22,ЮАО,р-н Нагорный,Нагорная,walk,8,45957500
4639,,38,180.0,30.0,4.0,80.0,,,,48,СЗАО,р-н Щукино,Щукинская,walk,12,95000000
2597,,2,61.74,,2.0,,f,,,19,ВАО,р-н Богородское,Бульвар Рокоссовского,transport,4,21500000
1517,1.0,20,76.9,17.2,4.0,36.8,f,,,30,ЮЗАО,р-н Южное Бутово,Улица Горчакова,walk,15,18554570
7527,,6,20.42,,,12.3,t,,,21,ЗАО,р-н Тропарево-Никулино,Озёрная,transport,3,6228100
3400,0.0,10,16.5,,,11.5,t,,,10,ЮВАО,р-н Нижегородский,Авиамоторная,walk,19,5400000
4928,,5,101.2,20.0,4.0,45.8,f,,,5,ЦАО,р-н Пресненский,Тверская,walk,10,125000000
811,,14,28.1,,1.0,15.6,f,,,27,ЮАО,р-н Даниловский,Серпуховская,walk,20,19203540
2854,0.0,2,55.1,7.3,2.0,33.7,f,,1959.0,5,ЗАО,р-н Фили-Давыдково,Кунцевская,walk,3,14700000
4180,,17,64.2,10.9,3.0,34.6,f,,,29,ЮАО,р-н Нагатино-Садовники,Нагатинская,walk,6,25500000
6823,,4,250.0,,6.0,,f,,1905.0,4,ЦАО,р-н Красносельский,Сретенский бульвар,walk,5,135000000
8088,,11,31.6,,,,f,,,12,ЗАО,р-н Можайский,Сетунь,transport,7,9484740
4068,0.0,4,33.0,5.5,,20.9,f,,2022.0,10,НАО (Новомосковский),м. Филатов Луг,Филатов Луг,transport,13,8500000
2644,1.0,5,135.0,20.0,5.0,90.0,f,,1997.0,12,ЮЗАО,р-н Академический,Академическая,walk,5,41000000
7973,,16,24.84,5.7,,12.1,t,,,16,НАО (Новомосковский),м. Румянцево,Румянцево,walk,15,8352129
2447,,35,59.7,18.0,2.0,33.0,,,2021.0,37,ЗАО,р-н Раменки,Аминьевская,walk,7,25000000
2955,1.0,4,45.8,,2.0,,f,,1962.0,9,СВАО,р-н Алексеевский,ВДНХ,walk,17,16900000
7469,,8,31.0,5.6,,20.4,t,,,29,ЮЗАО,р-н Черемушки,Новые Черёмушки,walk,11,11435900
6952,0.0,2,300.0,35.0,6.0,250.0,,,2003.0,4,ЗАО,р-н Крылатское,Молодёжная,transport,6,250000000
7728,,2,24.02,5.6,,10.6,f,,,9,НАО (Новомосковский),м. Рассказовка,Рассказовка,transport,20,5523002
