,balcony,floor_num,total_area,kitchen_area,rooms_count,living_area,is_apartments,bedrooms_count,year_built,total_floor,district,hood,metro_name,metro_transport_type,metro_time,price
520,,11,31.0,12.0,1.0,9.0,f,,,26,ЮАО,р-н Царицыно,Каширская,transport,4,10846590
4256,1.0,10,81.6,10.7,3.0,52.3,f,,2000.0,17,ЗАО,р-н Очаково-Матвеевское,Очаково,walk,10,24500000
6459,,26,167.7,10.8,6.0,80.0,f,,,26,СЗАО,р-н Хорошево-Мневники,Звенигородская,walk,7,136893510
6323,,5,172.0,20.0,5.0,127.0,f,,,20,ЦАО,р-н Пресненский,Москва-Сити,walk,12,141900000
6292,,3,217.9,,5.0,,f,,2005.0,22,ЗАО,р-н Раменки,Ломоносовский проспект,walk,12,130000000
966,,3,66.4,17.8,4.0,31.5,f,,,18,НАО (Новомосковский),м. Бунинская аллея,Бунинская аллея,transport,13,13240586
498,,17,41.0,20.4,1.0,,f,,2022.0,17,НАО (Новомосковский),м. Бунинская аллея,Бунинская аллея,transport,6,10600000
5719,,1,189.7,,5.0,,t,,,28,САО,р-н Ховрино,Речной вокзал,walk,20,43681000
3984,1.0,14,20.8,5.3,,8.4,f,,,14,НАО (Новомосковский),м. Коммунарка,Коммунарка,walk,13,8517778
4071,,2,58.3,6.2,3.0,44.5,f,,1971.0,9,ЮАО,р-н Чертаново Южное,Улица Академика Янгеля,walk,10,12700000
7462,0.0,2,40.0,10.0,,20.0,t,,2016.0,2,ЮАО,р-н Даниловский,ЗИЛ,walk,12,9900000
1807,,8,64.1,18.7,4.0,31.6,f,,,10,НАО (Новомосковский),м. Коммунарка,Коммунарка,walk,13,13867791
2083,,8,64.5,27.2,2.0,,t,,,9,ЦАО,р-н Тверской,Маяковская,walk,1,89010000
5311,,5,124.0,,4.0,,,,,8,ЮАО,р-н Даниловский,Шаболовская,walk,11,150000000
1225,,5,33.1,6.8,1.0,19.0,f,,1971.0,9,САО,р-н Восточное Дегунино,Дегунино,walk,3,9990000
3856,1.0,7,60.0,5.8,3.0,43.6,f,,1970.0,9,ЗАО,р-н Кунцево,Кунцевская,walk,6,22800000
149,,2,33.9,,1.0,11.3,f,,,48,СЗАО,р-н Покровское-Стрешнево,Тушинская,walk,4,13509421
800,,5,35.3,10.6,1.0,16.2,f,,,12,ЗАО,р-н Очаково-Матвеевское,Аминьевская,walk,13,18850052
6147,0.0,4,145.0,14.2,5.0,82.8,f,,,5,ЦАО,р-н Замоскворечье,Новокузнецкая,walk,7,85000000
4461,,4,216.0,20.0,4.0,152.0,,,,6,ЦАО,р-н Якиманка,Боровицкая,walk,12,350000000
2084,,10,54.0,,2.0,,,,,21,ЦАО,р-н Пресненский,Улица 1905 года,walk,7,61800000
2651,,30,139.02,6.2,5.0,101.5,f,,,30,ЗАО,р-н Можайский,Рабочий посёлок,transport,4,52722487
2513,0.0,7,77.2,,2.0,,f,,2014.0,12,ЦАО,р-н Хамовники,Фрунзенская,walk,8,104900000
5878,,11,245.0,30.0,5.0,170.0,f,,2003.0,30,ЗАО,р-н Проспект Вернадского,Новаторская,walk,11,190000000
2787,1.0,4,44.8,6.2,2.0,27.4,f,,1972.0,12,ЮЗАО,р-н Теплый Стан,Коньково,walk,4,13500000
2409,,4,45.3,,2.0,,f,,,18,ЮАО,р-н Донской,Ленинский проспект,walk,7,37835597
28,,27,47.26,,1.0,13.2,f,,,28,ЮАО,р-н Нагатино-Садовники,Нагатинская,walk,4,23954676
1085,,11,30.1,11.5,1.0,10.5,t,,,29,ЮЗАО,р-н Черемушки,Новые Черёмушки,walk,11,12341000
1580,2.0,7,90.5,6.3,4.0,54.6,f,,,9,НАО (Новомосковский),м. Аэропорт Внуково,Аэропорт Внуково,transport,17,19186000
6449,,3,230.1,,6.0,,f,,1850.0,3,ЦАО,р-н Хамовники,Кропоткинская,walk,2,184080000
3399,,11,20.85,,,12.5,t,,,21,ЗАО,р-н Тропарево-Никулино,Озёрная,walk,17,5921400
8052,,21,20.8,5.1,,10.3,f,,,24,ЗАО,р-н Солнцево,Солнцево,walk,17,9197448
6072,1.0,36,250.1,20.0,5.0,180.0,,,,37,ЗАО,р-н Тропарево-Никулино,Тропарёво,walk,14,88000000
7378,0.0,2,13.3,,,,t,,1961.0,8,САО,р-н Тимирязевский,Петровско-Разумовская,walk,6,4700000
8018,,32,23.78,,,,f,,,33,ЮАО,р-н Чертаново Южное,Красный Строитель,walk,11,8576244
1441,,1,35.0,8.5,1.0,16.8,f,,1965.0,9,САО,р-н Войковский,Водный стадион,walk,9,10850000
5041,,33,123.7,21.4,4.0,69.2,t,,,36,СВАО,р-н Ярославский,Ростокино,walk,12,40944700
433,,9,40.2,12.0,1.0,15.0,f,,2023.0,25,НАО (Новомосковский),м. Филатов Луг,Филатов Луг,transport,4,12950000
4248,1.0,13,86.5,12.0,3.0,68.0,,,2021.0,22,НАО (Новомосковский),м. Саларьево,Саларьево,transport,4,24000000
308,,2,69.4,27.0,1.0,21.2,f,,,5,ЦАО,р-н Тверской,Площадь Революции,walk,3,168390000
7992,,8,22.51,4.0,,8.4,f,,,24,НАО (Новомосковский),м. Саларьево,Саларьево,walk,19,8431662
8099,,18,19.8,5.0,,9.8,f,,,33,ВАО,р-н Гольяново,Черкизовская,walk,7,9697109
4455,1.0,4,153.0,35.0,4.0,90.0,f,,,12,ЦАО,р-н Хамовники,Спортивная,walk,8,229500000
6373,0.0,4,199.0,20.0,5.0,150.0,,,2013.0,10,ЦАО,р-н Тверской,Новослободская,walk,7,178000000
5954,0.0,1,208.0,3.0,5.0,,t,,,12,СВАО,р-н Бибирево,Бибирево,walk,10,4700000
3095,,33,156.7,15.6,5.0,78.3,f,,,44,СЗАО,р-н Хорошево-Мневники,Хорошёво,walk,19,114200061
4437,,22,124.0,16.0,4.0,68.0,f,,,22,ЗАО,р-н Раменки,Аминьевская,walk,6,52990000
4740,,4,168.9,20.0,4.0,87.0,,,1998.0,6,ЦАО,р-н Замоскворечье,Третьяковская,walk,2,119000000
2178,,13,63.8,21.0,2.0,23.0,f,,,14,НАО (Новомосковский),м. Кедровая,Кедровая,walk,16,15471500
6180,1.0,4,183.0,23.0,5.0,90.0,f,,,22,ЗАО,р-н Раменки,Ломоносовский проспект,walk,16,115000000
7071,,15,233.0,26.0,6.0,,,,,57,САО,р-н Хорошевский,Аэропорт,walk,10,440000000
4573,,12,91.7,,4.0,,f,,,22,СВАО,р-н Марьина роща,Савёловская,walk,13,40684539
4597,,12,160.0,20.0,4.0,,f,,2007.0,22,ЦАО,р-н Пресненский,Москва-Сити,walk,15,86000000
1282,,7,47.18,15.3,1.0,13.4,f,,,12,ЗАО,м. Павшино,Павшино,transport,24,24491138
5295,,30,143.6,,4.0,,,,,36,СЗАО,р-н Хорошево-Мневники,Шелепиха,walk,11,130000000
6634,,10,364.0,19.6,6.0,156.6,f,,2008.0,10,ЗАО,р-н Очаково-Матвеевское,Матвеевская,walk,18,192830189
6756,0.0,12,88.2,10.0,6.0,60.9,,,,17,СЗАО,р-н Покровское-Стрешнево,Трикотажная,walk,4,35000000
1034,,2,37.89,,1.0,,f,,,9,ЮАО,р-н Москворечье-Сабурово,Варшавская,walk,15,15711300
7023,,30,425.0,20.0,6.0,195.0,t,,2008.0,31,ЗАО,р-н Очаково-Матвеевское,Пионерская,transport,7,348930819
1239,,13,84.4,,1.0,65.2,t,,,13,ЮАО,р-н Даниловский,Тульская,walk,8,71826959
3417,,2,74.6,,3.0,38.8,f,,,17,НАО (Новомосковский),м. Мичуринец,Мичуринец,walk,12,16587074
1595,,11,83.6,21.9,4.0,40.5,f,,,30,ЮЗАО,р-н Южное Бутово,Бунинская аллея,walk,18,19424397
2560,1.0,28,120.3,11.0,5.0,83.4,f,,,29,ЮАО,р-н Нагатино-Садовники,Нагатинская,walk,6,74027567
5584,2.0,3,125.0,8.8,5.0,83.2,,,2016.0,23,ЮЗАО,р-н Ясенево,Ясенево,walk,3,62000000
1513,1.0,11,37.2,10.0,1.0,20.6,f,,1970.0,12,ЗАО,р-н Солнцево,Солнцево,walk,15,12450000
7399,,10,25.5,,,,f,,,25,ЮАО,р-н Москворечье-Сабурово,Варшавская,walk,15,11697503
1815,0.0,10,45.3,4.5,1.0,35.8,t,,,17,ЗАО,р-н Филевский парк,Филёвский парк,walk,12,27000000
3557,,2,30.6,4.1,,19.8,f,,,18,НАО (Новомосковский),м. Бунинская аллея,Бунинская аллея,transport,7,7573561
8152,,7,30.9,,,,f,,,14,ЗАО,р-н Можайский,Сетунь,transport,5,10197000
5671,0.0,2,310.0,25.0,5.0,254.0,,,,3,ЦАО,р-н Хамовники,Кропоткинская,walk,10,285000000
4335,,22,65.8,,3.0,43.4,f,,,22,ЮАО,р-н Нагорный,Нагорная,walk,8,30064020
7455,,6,19.97,,,,t,,,14,ЗелАО,р-н Силино,Зеленоград — Крюково,transport,5,5664341
4698,,17,250.0,,4.0,,f,,2006.0,17,ЗАО,р-н Раменки,Ломоносовский проспект,transport,4,160000000
3458,,8,98.2,10.0,3.0,35.0,t,,,26,САО,р-н Аэропорт,Динамо,walk,10,51950000
1693,,6,47.17,23.6,1.0,,t,,,15,ЮАО,р-н Даниловский,Тульская,walk,15,19847061
6429,,5,235.5,30.0,6.0,110.8,,,,12,ЦАО,р-н Хамовники,Спортивная,walk,7,294000000
3375,,2,81.2,10.5,3.0,45.0,f,,1998.0,22,СЗАО,р-н Митино,Волоколамская,walk,11,21750000
2650,,4,179.4,,5.0,,t,,,4,ЦАО,р-н Мещанский,Цветной бульвар,walk,9,152490000
5385,0.0,4,179.0,20.0,4.0,,,,2012.0,6,ЦАО,р-н Хамовники,Кропоткинская,walk,6,246547171
3316,,2,84.6,,3.0,,f,,,23,СВАО,р-н Ростокино,Ботанический сад,walk,10,37847000
3448,,16,65.1,,3.0,,f,,2022.0,27,САО,р-н Хорошевский,Зорге,walk,12,38950000
4896,,3,160.0,20.0,4.0,100.0,t,,,7,ЦАО,р-н Замоскворечье,Новокузнецкая,walk,8,175000000
6098,1.0,9,180.8,25.0,5.0,,,,2006.0,19,САО,р-н Хорошевский,Аэропорт,walk,5,74500000
1697,,14,25.7,,1.0,,f,,,26,ЮАО,р-н Даниловский,Павелецкая,walk,10,20176941
6898,,2,222.8,25.8,6.0,116.5,f,,1913.0,6,ЦАО,р-н Хамовники,Парк Культуры,walk,7,179000000
4005,,4,116.69,,3.0,,f,,,10,ЗАО,р-н Дорогомилово,Парк Победы,walk,5,134193500
125,,4,39.6,,1.0,,f,,,39,САО,р-н Западное Дегунино,Селигерская,walk,4,15509395
4857,0.0,9,115.0,10.7,4.0,60.7,,,2022.0,10,ЮАО,р-н Даниловский,Технопарк,walk,11,57500000
4677,,9,166.67,39.7,4.0,67.2,f,,,12,ЗАО,м. Павшино,Павшино,transport,24,75101502
4734,,76,294.6,,4.0,203.7,t,,,85,ЦАО,р-н Пресненский,Москва-Сити,walk,1,266293166
6006,,6,137.12,31.0,5.0,84.0,,,,7,СВАО,р-н Марьина роща,Савёловская,walk,12,40000000
6829,1.0,4,245.5,17.0,6.0,182.0,f,,1996.0,17,ЗАО,р-н Дорогомилово,Студенческая,walk,5,155182390
5626,0.0,3,223.0,25.0,5.0,176.0,,,,8,ЗАО,р-н Раменки,Ломоносовский проспект,transport,4,268000000
1051,,3,30.3,,1.0,,f,,,14,ЮВАО,р-н Рязанский,Окская,walk,10,10899637
1143,,12,52.7,10.6,1.0,20.7,t,,,29,ЮЗАО,р-н Черемушки,Новые Черёмушки,walk,11,17580720
1311,,5,36.2,,1.0,,f,,2022.0,27,ЗАО,р-н Очаково-Матвеевское,Аминьевская,walk,14,16800000
3702,0.0,10,99.0,15.0,3.0,74.0,t,,,25,САО,р-н Аэропорт,Динамо,walk,9,56500000
696,0.0,6,35.0,12.0,1.0,12.0,t,,2022.0,7,ЦАО,р-н Таганский,Калитники,walk,12,14650000
1767,,38,40.0,18.5,1.0,14.0,,,2023.0,40,ЮАО,р-н Даниловский,ЗИЛ,walk,8,23500000
4830,,10,25.4,4.2,,11.4,f,,,14,НАО (Новомосковский),м. Кедровая,Кедровая,walk,16,7330440
6696,,38,260.0,,6.0,,f,,2007.0,43,САО,р-н Хорошевский,Беговая,walk,3,89000000
2043,,14,32.89,4.9,1.0,20.5,f,,,17,НАО (Новомосковский),м. Филатов Луг,Филатов Луг,transport,15,7834910
4359,,1,502.7,,4.0,,f,,,6,ЦАО,р-н Хамовники,Кропоткинская,walk,5,961000000
2285,1.0,6,40.0,8.0,2.0,,f,,1962.0,9,САО,р-н Тимирязевский,Тимирязевская,walk,4,15990000
29,,4,60.07,6.5,1.0,47.1,t,,,6,ЦАО,р-н Замоскворечье,Новокузнецкая,walk,10,64815530
4887,,11,141.0,,4.0,80.0,t,,2016.0,13,ЦАО,р-н Пресненский,Маяковская,walk,5,98500000
4083,0.0,2,62.6,8.2,3.0,39.0,f,,1980.0,12,ЮВАО,р-н Марьино,Курьяново,walk,11,14800000
5348,,14,280.0,,6.0,,f,,,18,ЦАО,р-н Хамовники,Спортивная,walk,8,339600000
3342,1.0,9,104.0,,3.0,,f,,,22,СЗАО,р-н Хорошево-Мневники,Терехово ,walk,8,62990000
2663,,8,55.0,15.0,2.0,26.0,f,,2022.0,9,НАО (Новомосковский),м. Филатов Луг,Филатов Луг,transport,13,10490000
3066,,3,47.0,20.0,2.0,14.6,,,,11,ЮАО,р-н Даниловский,ЗИЛ,transport,8,20900000
1651,0.0,24,37.7,5.7,1.0,23.0,f,,2022.0,29,ЗАО,р-н Очаково-Матвеевское,Аминьевская,walk,15,18000000
5910,,11,305.0,,5.0,,f,,,11,ЗАО,р-н Раменки,Ломоносовский проспект,transport,3,609640000
2692,,19,162.6,6.1,5.0,,f,,,40,САО,р-н Хорошевский,ЦСКА,walk,11,149258558
4540,1.0,8,21.7,7.8,,7.8,f,,,18,НАО (Новомосковский),м. Коммунарка,Коммунарка,walk,13,7228155
3105,1.0,15,52.3,19.9,2.0,22.6,f,,,26,ЮВАО,р-н Лефортово,Лефортово,walk,12,23500000
7770,,2,20.6,,,,f,,,17,ЮЗАО,р-н Южное Бутово,Щербинка,walk,18,6247460
1028,,6,24.5,,1.0,,f,,,26,ЮАО,р-н Даниловский,Павелецкая,walk,10,19028856
4453,,2,132.0,14.0,4.0,78.0,f,,2021.0,14,ЗАО,р-н Раменки,Минская,transport,5,88000000
5145,0.0,34,108.0,28.3,4.0,59.0,f,,,48,СВАО,р-н Ростокино,Ботанический сад,walk,12,59900000
7289,1.0,2,377.4,8.3,6.0,180.0,t,,1900.0,2,ЦАО,р-н Хамовники,Боровицкая,walk,3,185000000
4273,,33,85.3,27.6,3.0,42.5,f,,2023.0,33,ВАО,р-н Метрогородок,Бульвар Рокоссовского,walk,9,27990000
3243,,7,135.0,10.0,3.0,,f,,2005.0,9,ЦАО,р-н Замоскворечье,Павелецкая,walk,9,156000000
6418,1.0,5,315.0,22.0,5.0,242.0,f,,2002.0,5,СЗАО,р-н Покровское-Стрешнево,Стрешнево,transport,7,200000000
8130,,19,33.6,5.1,,16.1,f,,,24,СЗАО,р-н Митино,Пятницкое шоссе,transport,6,10006819
3650,,23,83.6,10.1,3.0,44.7,f,,,25,ЮАО,р-н Чертаново Центральное,Пражская,transport,6,22500000
7825,,3,23.29,4.4,,10.9,t,,,23,НАО (Новомосковский),м. Румянцево,Румянцево,walk,19,6941195
2014,,2,35.43,12.8,1.0,11.6,f,,,17,НАО (Новомосковский),м. Филатов Луг,Филатов Луг,transport,13,7537807
1389,1.0,12,30.4,6.7,1.0,14.2,,,1972.0,16,ЗАО,р-н Раменки,Ломоносовский проспект,walk,11,12500000
1459,0.0,2,43.2,15.3,1.0,14.0,,,2024.0,9,НАО (Новомосковский),м. Мичуринец,Мичуринец,walk,11,11100000
893,0.0,12,45.0,9.0,1.0,25.0,f,,2018.0,22,ЗАО,р-н Тропарево-Никулино,Озёрная,walk,4,22500000
6647,2.0,5,209.0,,6.0,,f,,1902.0,5,ЦАО,р-н Пресненский,Белорусская,walk,8,87000000
5157,,27,114.7,7.6,4.0,75.7,f,,,40,ЮАО,р-н Даниловский,ЗИЛ,walk,14,63063207
3119,0.0,2,42.0,9.0,2.0,26.0,f,,2022.0,34,СВАО,р-н Останкинский,Алексеевская,walk,10,24999000
3340,,18,56.6,,3.0,,f,,,20,САО,р-н Головинский,Коптево,walk,9,19906220
7776,,13,22.2,5.0,,9.2,f,,,16,НАО (Новомосковский),м. Филатов Луг,Филатов Луг,transport,14,6338873
5536,0.0,7,160.0,23.0,5.0,98.0,f,,2011.0,14,ЦАО,р-н Тверской,Новослободская,walk,3,78000000
2784,,5,52.0,17.4,2.0,12.2,t,,,28,СВАО,р-н Отрадное,Отрадное,walk,8,13936000
7597,,22,30.17,,,,f,,,28,ЮАО,р-н Нагатино-Садовники,Нагатинская,walk,5,14500000
5916,1.0,6,145.1,,5.0,,f,,2009.0,13,СВАО,р-н Ростокино,Ростокино,walk,13,67000000
3895,1.0,17,82.0,20.0,3.0,42.0,f,,2018.0,24,СЗАО,р-н Хорошево-Мневники,Шелепиха,walk,10,54000000
7322,,6,343.0,,6.0,,f,,,9,ЦАО,р-н Арбат,Кропоткинская,walk,6,330566039
6917,0.0,1,400.0,100.0,6.0,275.0,,,2021.0,4,ЗАО,р-н Очаково-Матвеевское,Матвеевская,walk,18,198790000
6667,4.0,5,215.0,17.3,6.0,118.5,f,,1995.0,5,ЮВАО,р-н Марьино,Марьино,walk,4,60000000
5658,,44,192.0,15.0,5.0,,t,,2008.0,65,ЦАО,р-н Пресненский,Деловой центр,walk,2,183647799
5887,,61,195.1,29.3,5.0,160.8,f,,,67,ЦАО,р-н Пресненский,Москва-Сити,walk,7,212249290
2360,1.0,6,60.0,12.0,2.0,36.0,f,,1941.0,8,ЗАО,р-н Дорогомилово,Москва-Сити,walk,11,35000000
3837,0.0,70,100.0,13.0,3.0,67.0,t,,2019.0,75,ЦАО,р-н Пресненский,Москва-Сити,walk,3,178000000
1127,,6,40.9,,1.0,,f,,2023.0,18,ЮЗАО,р-н Академический,Профсоюзная,walk,10,17400000
5124,1.0,5,125.0,14.2,4.0,71.3,f,,1955.0,14,ЗАО,р-н Дорогомилово,Киевская,walk,8,93750000
871,,2,35.0,9.7,1.0,12.7,f,,,37,ЮВАО,р-н Нижегородский,Нижегородская,walk,18,13645193
1714,,2,46.8,,2.0,,t,,,16,ЮАО,р-н Даниловский,Тульская,walk,4,23868000
4235,0.0,19,58.0,,3.0,40.8,f,,,30,ЮВАО,р-н Южнопортовый,Дубровка,walk,4,23000000
7616,0.0,8,27.5,,,,t,,,23,ЮВАО,р-н Южнопортовый,Волгоградский проспект,walk,3,6850000
7857,,14,23.4,4.3,,11.3,f,,,14,НАО (Новомосковский),м. Щербинка,Щербинка,transport,9,7256330
3040,1.0,19,59.0,10.4,2.0,33.0,f,,2005.0,22,ЮЗАО,р-н Обручевский,Калужская,walk,15,18990000
1988,,14,32.6,15.0,1.0,9.8,f,,,16,НАО (Новомосковский),м. Филатов Луг,Филатов Луг,transport,14,7332116
2427,,3,41.23,15.8,2.0,,t,,2021.0,5,ЦАО,р-н Замоскворечье,Новокузнецкая,walk,6,40900000
537,,12,38.8,8.5,1.0,20.0,f,,1987.0,17,ВАО,р-н Новокосино,Новокосино,walk,6,11490000
2225,1.0,13,45.6,20.2,2.0,12.3,t,,,24,СЗАО,р-н Покровское-Стрешнево,Тушинская,walk,20,17606234
8090,,9,22.6,5.2,,10.4,f,,,30,ЮАО,р-н Москворечье-Сабурово,Борисово,transport,5,9615124
3909,,4,111.3,8.2,3.0,,t,,2023.0,6,ЦАО,р-н Хамовники,Парк Культуры,walk,10,133560000
7678,,28,20.1,5.1,,9.9,f,,,33,ЮВАО,р-н Люблино,Братиславская,transport,4,7694038
4022,2.0,15,70.0,12.1,3.0,40.0,f,,2023.0,32,СВАО,р-н Бутырский,Бутырская,walk,5,34650000
3181,,22,83.6,,3.0,63.7,t,,,34,ЗАО,р-н Дорогомилово,Кутузовская,walk,14,124597929
3153,,42,125.9,12.7,5.0,92.0,f,,,43,СЗАО,р-н Хорошево-Мневники,Хорошёво,walk,17,120587020
3797,0.0,5,125.7,10.0,3.0,100.0,,,1902.0,5,ЦАО,р-н Тверской,Белорусская,walk,6,56000000
1777,,13,46.2,17.9,1.0,19.0,f,,,22,СЗАО,р-н Покровское-Стрешнево,Тушинская,walk,12,24455368
7421,,4,24.2,3.1,,16.1,t,,,29,ЮЗАО,р-н Черемушки,Новые Черёмушки,walk,11,9123400
898,1.0,3,60.1,20.7,3.0,22.6,f,,,10,НАО (Новомосковский),м. Толстопальцево,Толстопальцево,transport,9,9591911
678,0.0,12,38.8,8.0,1.0,20.8,,,,14,ЮВАО,р-н Южнопортовый,Дубровка,walk,3,14050000
62,1.0,9,35.3,,1.0,,f,,1980.0,9,ЮВАО,р-н Люблино,Братиславская,walk,12,8977500
6530,,3,303.8,,6.0,,f,,2020.0,9,ЗАО,р-н Раменки,Ломоносовский проспект,transport,4,380000000
3586,,21,103.1,,3.0,,f,,,36,САО,р-н Беговой,Белорусская,walk,5,67553034
5807,0.0,10,217.3,,5.0,,f,,2020.0,11,ЗАО,р-н Дорогомилово,Москва-Сити,walk,15,179600000
1297,,4,82.04,33.9,1.0,19.8,f,,,7,ЗАО,м. Павшино,Павшино,transport,24,46910472
5993,0.0,12,161.1,20.0,5.0,125.0,f,,1955.0,16,СВАО,р-н Алексеевский,Алексеевская,walk,5,50000000
4806,1.0,13,127.1,10.3,4.0,67.0,f,,,13,НАО (Новомосковский),м. Ольховая,Ольховая,transport,17,47099900
6400,,1,219.2,,5.0,175.0,f,,,8,ЮЗАО,р-н Гагаринский,Ленинский проспект,walk,9,195000000
5475,1.0,3,145.8,10.0,5.0,,f,,1914.0,6,ЦАО,р-н Пресненский,Арбатская,walk,12,211194969
2408,,5,73.4,9.0,3.0,,t,,2020.0,7,ЦАО,р-н Пресненский,Улица 1905 года,walk,13,53400000
3207,0.0,5,117.0,25.0,3.0,,t,,2013.0,9,ЦАО,р-н Тверской,Цветной бульвар,walk,7,65500000
5196,1.0,8,104.7,12.0,4.0,77.6,f,,1952.0,15,ЗАО,р-н Дорогомилово,Киевская,walk,11,70000000
5064,,10,108.3,,4.0,59.6,f,,,20,СЗАО,р-н Покровское-Стрешнево,Трикотажная,walk,6,45340889
2598,,4,39.9,17.1,2.0,,,,,48,СВАО,р-н Ростокино,Ботанический сад,walk,12,22000000
2531,,46,180.7,12.2,5.0,105.9,f,,,47,ЮЗАО,р-н Обручевский,Калужская,walk,18,150206875
5236,4.0,15,122.4,,4.0,,f,,2021.0,16,ВАО,р-н Сокольники,Сокольники,walk,11,83470000
4060,,2,173.6,,3.0,,f,,2004.0,5,ЦАО,р-н Хамовники,Фрунзенская,walk,6,348930819
7522,,9,21.4,,,,t,,,14,ЗелАО,р-н Силино,Зеленоград — Крюково,transport,5,6609454
980,,2,40.9,19.4,1.0,11.9,f,,,16,ВАО,р-н Преображенское,Преображенская площадь,walk,7,17295455
6809,0.0,17,279.0,,6.0,,f,,2011.0,19,СЗАО,р-н Щукино,Панфиловская,walk,3,111111111
2382,0.0,2,105.0,23.0,2.0,50.0,t,,2015.0,5,ЦАО,р-н Тверской,Лубянка,walk,1,160000000
3764,,4,120.0,15.0,3.0,,,,2023.0,21,ЦАО,р-н Пресненский,Улица 1905 года,walk,9,102000000
7294,4.0,8,270.0,35.0,6.0,,,,2008.0,26,САО,р-н Хорошевский,ЦСКА,walk,13,205000000
1096,,2,87.1,25.3,4.0,31.4,f,,,16,САО,р-н Сокол,Октябрьское поле,walk,13,36983117
1569,,2,133.0,,3.0,45.6,f,,,18,ЦАО,р-н Хамовники,Воробьёвы горы,walk,13,130863000
5824,0.0,4,125.0,7.0,5.0,,,,1910.0,6,ЦАО,р-н Пресненский,Маяковская,walk,7,100000000
4746,,6,218.0,,4.0,,f,,,17,ЗАО,р-н Раменки,Минская,walk,16,150000000
3779,0.0,54,134.0,,3.0,,t,,2020.0,78,ЦАО,р-н Пресненский,Москва-Сити,walk,3,100500000
1689,,7,38.2,19.5,1.0,10.6,f,,,22,СЗАО,р-н Покровское-Стрешнево,Тушинская,walk,12,19796539
7211,,6,630.0,,6.0,,,,,6,ЦАО,р-н Пресненский,Баррикадная,walk,11,1239622649
952,1.0,21,126.55,32.8,4.0,62.3,f,,,26,ЦАО,р-н Пресненский,Белорусская,walk,11,102606740
2159,,4,73.02,,2.0,,t,,,20,ЦАО,р-н Пресненский,Краснопресненская,walk,4,60173080
2504,,14,50.1,10.0,2.0,15.0,,,2023.0,29,СЗАО,р-н Хорошево-Мневники,Хорошёвская,transport,5,30500000
7276,,4,245.5,,6.0,,f,,,17,ЗАО,р-н Дорогомилово,Студенческая,walk,5,156741247
1418,,19,36.0,12.0,1.0,11.0,f,,,32,ЮАО,р-н Царицыно,Каширская,transport,4,12448080
3516,,3,80.8,18.0,3.0,57.8,t,,,28,СЗАО,р-н Хорошево-Мневники,Полежаевская,walk,20,31916000
2827,,17,56.5,,2.0,26.8,f,,,17,НАО (Новомосковский),м. Мичуринец,Мичуринец,walk,12,14376232
6603,0.0,5,584.1,,6.0,,f,,2007.0,5,ЦАО,р-н Хамовники,Парк Культуры,walk,8,1377358499
5121,,24,124.75,,4.0,87.9,f,,,24,ЗАО,р-н Фили-Давыдково,Кунцевская,walk,10,53892000
1207,1.0,3,65.1,26.8,1.0,15.1,f,,,8,ЦАО,р-н Якиманка,Полянка,walk,6,156320000
1764,,11,40.3,,1.0,,,,,15,ЗАО,р-н Раменки,Раменки,walk,6,23300000
3087,,7,37.8,9.1,2.0,18.8,f,,,26,ЮАО,р-н Нагатино-Садовники,Нагатинская,walk,16,26636010
827,1.0,19,48.6,18.0,1.0,18.0,t,,2022.0,21,СЗАО,р-н Хорошево-Мневники,Народное Ополчение,walk,12,19999900
2647,0.0,14,39.6,12.8,2.0,13.7,,,,17,НАО (Новомосковский),м. Силикатная,Силикатная,transport,6,9900000
1956,,2,43.61,,1.0,,f,,,7,ТАО (Троицкий),м. Рассказовка,Рассказовка,transport,21,7064820
87,,3,39.08,6.2,1.0,24.0,f,,,35,ЮЗАО,р-н Котловка,Профсоюзная,walk,17,20505276
6943,,2,300.0,9.0,6.0,225.0,t,,2004.0,7,ЦАО,р-н Хамовники,Киевская,walk,12,230000000
720,0.0,5,29.9,,1.0,,,,,14,ЮВАО,р-н Лефортово,Площадь Ильича,walk,19,15500000
2616,0.0,6,58.6,,2.0,,f,,2022.0,9,ЗАО,р-н Кунцево,Крылатское,walk,20,30734587
956,0.0,5,34.6,8.4,1.0,19.7,f,,1970.0,14,ЮАО,р-н Нагорный,Севастопольская,walk,10,13650000
7012,1.0,6,300.0,40.0,6.0,,,,2014.0,10,ЦАО,р-н Тверской,Новослободская,walk,8,319990000
1710,,2,36.06,13.5,1.0,,f,,,54,СЗАО,р-н Хорошево-Мневники,Полежаевская,walk,14,20713585
6331,1.0,21,159.1,15.0,5.0,102.4,,,2021.0,36,САО,р-н Хорошевский,ЦСКА,walk,11,149990000
1525,,2,48.8,11.0,1.0,20.0,,,2013.0,15,ЮАО,р-н Бирюлево Восточное,Царицыно,transport,4,12700000
1065,,8,41.0,,1.0,,f,,2021.0,41,САО,р-н Хорошевский,Аэропорт,walk,12,34000000
5095,2.0,9,150.0,30.0,4.0,100.0,t,,2015.0,15,ЗАО,р-н Филевский парк,Фили,walk,16,50000000
1584,,13,42.0,15.6,1.0,11.4,f,,,16,ВАО,р-н Метрогородок,Бульвар Рокоссовского,transport,7,15350000
7105,,5,237.4,15.0,6.0,,t,,2021.0,5,ЦАО,р-н Тверской,Новослободская,walk,5,474800000
