id,cian_id,balcony,floor_num,garage,total_area,kitchen_area,rooms_count,living_area,is_apartments,bedrooms_count,year_built,total_floor,district,hood,metro_name,metro_transport_type,metro_time,price
6605,293323089,None,8,None,407.8,60.0,6,50.0,f,None,1999,15,ЮЗАО,р-н Обручевский,Новые Черёмушки,walk,12,175000000
6606,298811786,1,2,None,451.0,15.2,6,188.3,f,None,2005,6,СЗАО,р-н Покровское-Стрешнево,Стрешнево,transport,6,180000000
8001,291999819,1,13,None,23.6,3.0,None,11.7,f,None,None,30,ЮЗАО,р-н Южное Бутово,Бунинская аллея,walk,15,8960589
6608,301226023,3,2,None,451.0,15.0,6,305.0,None,None,2005,6,СЗАО,р-н Покровское-Стрешнево,Стрешнево,transport,6,180000000
6609,295461806,None,11,None,285.0,40.0,6,200.0,None,None,None,53,ЗАО,р-н Раменки,Ломоносовский проспект,transport,4,180000000
6611,288757802,1,8,None,260.0,30.0,6,160.0,None,None,1954,11,ЦАО,р-н Пресненский,Краснопресненская,walk,12,180000000
6612,300645718,2,2,None,227.0,19.0,6,162.3,None,None,1912,4,ЦАО,р-н Замоскворечье,Новокузнецкая,walk,2,179000000
6613,288695327,1,8,None,260.0,33.0,6,158.0,None,None,1954,11,ЦАО,р-н Пресненский,Краснопресненская,walk,10,180000000
8002,300219961,1,12,None,21.4,5.4,None,9.0,f,None,None,18,НАО (Новомосковский),м. Филатов Луг,Филатов Луг,transport,8,8967197
6614,299186876,0,1,None,255.0,15.5,6,106.0,f,None,1914,6,ЦАО,р-н Хамовники,Кропоткинская,walk,10,180000000
6615,301053984,None,2,None,222.8,25.8,6,116.5,f,None,1913,6,ЦАО,р-н Хамовники,Парк Культуры,walk,7,179000000
6616,288512090,1,8,None,260.0,33.0,6,None,f,None,1954,11,ЦАО,р-н Пресненский,Краснопресненская,walk,12,182000000
6617,301438234,0,5,None,266.8,27.0,6,143.6,f,None,2000,6,ЦАО,р-н Мещанский,Сухаревская,walk,6,182263327
6628,300072480,None,8,None,365.0,30.0,6,200.0,None,None,2008,9,ЗАО,р-н Очаково-Матвеевское,Матвеевская,walk,18,192830189
6618,298142028,None,2,None,391.5,40.0,6,None,None,None,1999,15,ЗАО,р-н Раменки,Минская,walk,11,183647799
6619,296587692,0,6,None,335.0,17.0,6,208.0,None,None,None,6,ЦАО,р-н Хамовники,Киевская,walk,12,185000000
6620,293392060,1,2,None,146.0,30.0,6,None,None,None,1934,7,ЦАО,р-н Пресненский,Маяковская,walk,11,185000000
6621,296392827,0,18,None,227.0,30.0,6,190.0,None,None,2007,18,ЗАО,р-н Дорогомилово,Студенческая,walk,4,189000000
6633,301179086,None,4,None,221.8,16.0,6,None,None,None,None,5,ЦАО,р-н Хамовники,Кропоткинская,walk,3,197892200
6622,289198785,1,19,None,240.0,20.0,6,155.0,f,None,2007,19,ЗАО,р-н Дорогомилово,Студенческая,walk,4,189000000
6623,301166801,None,12,None,270.0,25.0,6,200.0,None,None,None,12,ЗАО,р-н Раменки,Ломоносовский проспект,walk,5,190000000
6625,301267168,None,12,None,270.0,25.0,6,200.0,None,None,None,12,ЗАО,р-н Раменки,Ломоносовский проспект,walk,5,190000000
6626,289687552,1,1,None,385.0,40.0,6,200.0,f,None,2021,3,ЗАО,р-н Очаково-Матвеевское,Матвеевская,walk,18,190800000
6627,301311957,1,10,None,267.0,40.0,6,170.0,None,None,2008,16,ЦАО,р-н Хамовники,Смоленская,walk,12,192000000
6642,298278047,2,15,None,332.5,15.6,6,207.1,f,None,2004,16,ЗАО,р-н Раменки,Ломоносовский проспект,walk,16,209000000
7131,301743442,None,2,None,17.6,2.9,None,7.9,f,None,None,64,СЗАО,р-н Хорошево-Мневники,Хорошёвская,transport,5,10065522
6629,300574399,4,13,None,227.0,40.0,6,127.0,None,None,2019,19,ЦАО,р-н Пресненский,Москва-Сити,walk,12,195200000
6630,299838935,0,5,None,202.0,25.0,6,137.0,None,None,2022,10,ЗАО,р-н Раменки,Мичуринский проспект,walk,17,195000000
6631,301088634,0,15,None,410.0,20.0,6,None,None,None,2016,30,СЗАО,р-н Щукино,Щукинская,walk,18,195000000
6632,300421940,0,1,None,400.0,100.0,6,275.0,None,None,2021,4,ЗАО,р-н Очаково-Матвеевское,Матвеевская,walk,18,198790000
6634,300702040,None,1,None,420.0,21.0,6,125.0,t,None,None,3,СЗАО,р-н Хорошево-Мневники,Народное Ополчение,transport,5,200000000
6645,299770394,0,13,None,380.0,50.0,6,151.6,None,None,None,19,СЗАО,р-н Хорошево-Мневники,Шелепиха,walk,14,210000000
7132,298378644,None,16,None,15.3,None,None,None,t,None,1980,22,ЗАО,р-н Тропарево-Никулино,Юго-Западная,walk,16,7450000
6635,299561456,4,5,None,257.6,14.0,6,146.8,f,None,1996,12,ЦАО,р-н Красносельский,Красносельская,walk,7,199990000
6636,300486013,0,1,None,385.0,16.0,6,172.0,f,None,None,3,ЗАО,р-н Очаково-Матвеевское,Матвеевская,walk,18,200000000
6637,273641909,None,1,None,386.0,None,6,None,f,None,2021,26,ЗАО,р-н Очаково-Матвеевское,Матвеевская,walk,18,200000000
6638,293429555,2,8,None,280.0,15.0,6,173.0,f,None,2008,15,ЗАО,р-н Раменки,Ломоносовский проспект,walk,5,202012579
6639,291417402,1,8,None,364.0,24.0,6,200.0,None,None,2008,9,ЗАО,р-н Очаково-Матвеевское,Матвеевская,walk,18,202012579
6653,289741181,1,2,None,123.0,32.0,6,None,None,None,2004,6,ЗАО,р-н Раменки,Воробьёвы горы,walk,8,229559749
6906,290058449,1,5,None,585.0,None,6,None,f,None,None,5,ЦАО,р-н Хамовники,Парк Культуры,walk,8,1285534599
6640,301175476,0,8,None,280.0,15.0,6,173.0,None,None,None,15,ЗАО,р-н Раменки,Ломоносовский проспект,walk,4,205569980
6641,301267169,0,8,None,280.0,15.0,6,173.0,None,None,None,15,ЗАО,р-н Раменки,Ломоносовский проспект,walk,5,205569980
6643,298475203,None,4,None,222.0,None,6,None,f,None,1910,9,ЦАО,р-н Хамовники,Кропоткинская,walk,3,207786810
