,floor_num,total_area,kitchen_area,rooms_count,living_area,is_apartments,total_floor,district,hood,metro_name,metro_transport_type,metro_time,price
2900,2,75.0,14.4,3.0,43.3,f,20,ЮЗАО,р-н Академический,Профсоюзная,walk,10,29000000
2901,3,139.2,31.8,5.0,93.0,,13,ЗАО,р-н Раменки,Минская,transport,5,98900000
2902,6,103.98,20.4,3.0,52.5,f,16,ВАО,р-н Преображенское,Преображенская площадь,walk,7,45561680
2903,16,180.0,25.0,5.0,96.0,f,24,САО,р-н Беговой,Белорусская,walk,8,157900000
2904,31,209.7,,4.0,,t,66,ЦАО,р-н Пресненский,Москва-Сити,walk,3,180342000
2905,2,59.0,15.4,3.0,38.6,t,27,ЦАО,р-н Замоскворечье,Павелецкая,walk,7,27900000
2906,13,73.2,11.4,2.0,33.0,f,44,СЗАО,р-н Хорошево-Мневники,Шелепиха,transport,4,33900000
2907,11,90.0,35.0,3.0,,,13,САО,р-н Беговой,Петровский Парк,walk,7,55000000
2908,2,58.0,9.6,2.0,29.3,f,12,ВАО,р-н Богородское,Белокаменная,walk,18,22500000
2909,9,40.0,6.4,2.0,23.3,f,12,ЮЗАО,р-н Котловка,Нахимовский проспект,walk,14,14900000
2910,1,79.0,10.0,3.0,43.6,f,22,ЗАО,р-н Крылатское,Крылатское,transport,7,19900000
2911,2,40.1,,,,t,6,САО,р-н Беговой,Белорусская,walk,7,31000000
2912,53,239.0,10.0,3.0,176.0,t,73,ЦАО,р-н Пресненский,Деловой центр,walk,2,185000000
2913,14,22.0,4.0,,13.0,,22,ЗАО,р-н Солнцево,Солнцево,walk,12,7700000
2914,28,25.63,,,,f,33,ЮАО,р-н Чертаново Южное,Красный Строитель,walk,11,9143392
2915,12,19.3,3.7,,9.8,f,16,НАО (Новомосковский),м. Филатов Луг,Филатов Луг,transport,7,9822241
2916,10,197.9,17.4,4.0,107.2,f,14,ЦАО,р-н Якиманка,Полянка,transport,2,590320000
2917,12,26.3,3.6,,16.3,t,23,ЮВАО,р-н Южнопортовый,Волгоградский проспект,walk,3,8900000
2918,7,36.0,,2.0,,f,39,ЮАО,р-н Даниловский,Павелецкая,walk,10,27461232
2919,8,276.1,8.1,4.0,178.8,t,9,ЦАО,р-н Таганский,Китай-город,walk,12,307942336
2920,13,35.4,13.6,1.0,12.2,,15,ЮАО,р-н Даниловский,ЗИЛ,walk,17,17599000
2921,15,50.5,5.0,1.0,28.0,f,17,ЮЗАО,р-н Гагаринский,Ленинский проспект,walk,14,42066500
2922,2,26.3,5.5,,14.3,f,15,НАО (Новомосковский),м. Улица Скобелевская,Улица Скобелевская,transport,8,7338835
2923,2,124.7,10.0,3.0,77.0,t,5,ЦАО,р-н Тверской,Лубянка,walk,1,307610064
2924,20,57.8,,2.0,,f,26,ЮАО,р-н Чертаново Южное,Лесопарковая,walk,7,16357400
2925,6,56.89,22.1,1.0,17.1,f,13,ЗАО,м. Опалиха,Опалиха,transport,11,31374835
2926,11,22.24,3.0,,12.1,f,17,НАО (Новомосковский),м. Филатов Луг,Филатов Луг,transport,15,6342981
2927,63,86.0,19.0,1.0,38.0,t,66,ЦАО,р-н Пресненский,Деловой центр,walk,4,96000000
2928,43,123.0,44.0,2.0,74.0,t,73,ЦАО,р-н Пресненский,Деловой центр,walk,4,149000000
2929,37,60.59,6.0,3.0,43.4,,40,ЮАО,р-н Даниловский,ЗИЛ,walk,9,27200000
2930,8,69.3,,1.0,,t,17,ЗАО,р-н Филевский парк,Филёвский парк,walk,12,38918880
2931,8,290.0,50.0,6.0,81.4,,21,СЗАО,р-н Хорошево-Мневники,Мнёвники,transport,5,166000000
2932,2,43.7,,1.0,,f,9,ТАО (Троицкий),м. Рассказовка,Рассказовка,transport,21,6642400
2933,24,77.0,15.0,3.0,60.0,f,50,ЗАО,р-н Раменки,Раменки,walk,10,52000000
2934,2,140.0,26.0,3.0,100.0,f,4,ЦАО,р-н Мещанский,Трубная,walk,4,227576030
2935,23,54.9,16.5,3.0,25.3,f,31,САО,р-н Западное Дегунино,Селигерская,walk,13,21284173
2936,15,48.9,22.2,1.0,15.8,f,20,ЗАО,р-н Раменки,Аминьевская,walk,18,27000000
2937,6,72.5,,2.0,43.5,t,21,ЗАО,р-н Тропарево-Никулино,Озёрная,walk,20,16900000
2938,4,33.56,10.5,1.0,12.5,f,7,ТАО (Троицкий),м. Рассказовка,Рассказовка,transport,22,5600000
2939,3,36.0,17.0,1.0,10.0,f,33,ЗАО,р-н Кунцево,Молодёжная,walk,8,18950000
