,price
532,17500000
533,19755994
534,13716522
535,8510156
536,8900000
537,11100000
538,66000000
539,12500000
540,60000000
541,114000000
542,22500000
543,42700000
544,59000000
545,15779013
546,27900000
547,15299000
548,54890000
549,9000000
550,7535598
551,12500000
552,10148361
553,4650000
554,12200000
555,13875678
556,13239135
557,28490400
558,33366060
559,7500000
560,98069364
561,27500000
562,16392460
563,16000000
564,7500000
565,8564158
566,17900000
567,100000000
568,45790000
569,28107000
570,6843739
571,11800000
572,22800000
573,12300000
574,29641732
575,73000000
576,27000000
577,17800000
578,73272500
579,22000000
580,15904625
581,18900000
582,18505969
583,23900000
584,12400000
585,10620000
586,175000000
587,97192833
588,118653290
589,15805008
590,16590000
591,9250000
592,20500000
593,16047986
594,13212178
595,9012283
596,61000000
597,42704692
598,10500000
599,19022640
600,94392000
601,44000000
602,34738830
603,7985893
604,8380108
605,23250000
606,13000000
607,102000000
608,52537010
609,17613428
610,159990000
611,25801520
612,145000000
613,8750518
614,25500000
615,90000000
616,15950000
617,52810300
618,12300000
619,5400000
620,23132200
621,6873600
622,50869000
623,125000000
624,16275573
625,82350000
626,119371069
627,9120000
628,49737000
629,18801719
630,75000000
631,7806659
632,20761200
633,14750000
634,6294131
635,21941564
636,60000000
637,35800000
638,13000000
639,14612749
640,26908020
641,7400000
642,14500000
643,58500000
644,75000000
645,91823899
646,153000000
647,11900000
648,27400000
649,23132200
650,23573817
651,14124600
652,11800000
653,6990000
654,95000000
655,29485060
656,21612856
657,72929576
658,31891753
659,7410073
660,25870000
661,82000000
662,20500000
663,150000000
664,9198000
665,15435805
666,13611600
667,18900000
668,18707580
669,8163501
670,13290000
671,69000000
672,7843201
673,8800000
674,10996444
675,7326435
676,85000000
677,15382340
678,48500000
679,12664400
680,70057260
681,12180000
682,7219324
683,27748200
684,17438423
685,22141202
686,93774964
687,15558953
688,44000000
689,27999000
690,20119633
691,6600000
692,53892000
693,113319844
694,19900000
695,68515736
696,5950000
697,14500000
698,7799883
699,29950000
700,11350000
701,10218540
702,17091138
703,84999000
704,14500000
705,29949630
706,15000000
707,61104000
708,16543800
709,29000000
710,18800000
711,98783807
712,50000000
713,8744632
714,7646727
715,8895615
716,45990000
717,125000000
718,26876310
719,21660000
720,8700000
721,14938794
722,13999999
723,58500000
724,135726846
725,32729550
726,45501172
727,12716913
728,204169561
729,45000000
730,10059279
731,53738243
732,15803611
733,15500000
734,121440000
735,20000000
736,174600000
737,40548808
738,188240000
739,24599598
740,49344000
741,209622000
742,35250000
743,214000000
744,8400000
745,6957573
746,97850000
747,7887450
748,8608740
749,16499600
750,22300000
751,218430000
752,51413388
753,17444160
754,28900000
755,9145773
756,19300000
757,12630000
758,23000000
759,19076728
760,6949791
761,34500000
762,18335648
763,6175064
764,296485000
