,Unnamed: 0,floor_num,total_area,kitchen_area,rooms_count,living_area,is_apartments,total_floor,district,hood,metro_name,metro_transport_type,metro_time,price
1737,1737,6,142.8,0.0,3.0,0.0,t,8,ЦАО,р-н Якиманка,Новокузнецкая,walk,11,214000000
1738,1738,28,19.9,0.0,0.0,0.0,f,33,ВАО,р-н Метрогородок,Локомотив,transport,7,9221092
1739,1739,50,80.11,28.6,3.0,31.2,f,55,СВАО,р-н Марьина роща,Марьина Роща,walk,6,51800000
1740,1740,27,47.26,0.0,1.0,13.2,f,28,ЮАО,р-н Нагатино-Садовники,Нагатинская,walk,4,23954676
1741,1741,15,47.5,8.0,1.0,34.5,f,67,ЦАО,р-н Пресненский,Москва-Сити,walk,7,47500000
1742,1742,53,116.85,0.0,4.0,52.4,f,54,САО,р-н Савеловский,Дмитровская,walk,6,62398204
1743,1743,3,1070.0,39.5,6.0,0.0,,3,ЦАО,р-н Замоскворечье,Новокузнецкая,walk,7,700000000
1744,1744,4,45.6,0.0,1.0,0.0,f,17,САО,р-н Савеловский,Гражданская,walk,10,20789040
1745,1745,80,294.6,0.0,4.0,0.0,t,85,ЦАО,р-н Пресненский,Деловой центр,walk,3,486923776
1746,1746,26,131.2,0.0,5.0,75.8,f,27,ЮАО,р-н Даниловский,Серпуховская,walk,20,70480640
1747,1747,9,37.1,7.5,2.0,0.0,f,9,ЗАО,р-н Раменки,Поклонная,walk,19,16300000
1748,1748,5,32.5,10.4,1.0,12.0,f,13,НАО (Новомосковский),м. Коммунарка,Коммунарка,walk,13,8749863
1749,1749,2,59.0,13.0,2.0,32.0,t,18,СВАО,р-н Останкинский,Ботанический сад,transport,2,13500000
1750,1750,10,37.67,0.0,1.0,0.0,f,28,СВАО,р-н Марфино,Бутырская,walk,12,20495970
1751,1751,2,23.7,5.1,0.0,10.3,f,30,ЮАО,р-н Москворечье-Сабурово,Борисово,transport,5,9760299
1752,1752,15,152.27,0.0,4.0,0.0,t,20,ЦАО,р-н Пресненский,Краснопресненская,walk,1,141285090
1753,1753,18,35.0,0.0,1.0,0.0,f,24,ЮАО,р-н Бирюлево Восточное,Царицыно,transport,6,10290000
1754,1754,2,251.0,0.0,5.0,0.0,f,18,ЗАО,р-н Раменки,Ломоносовский проспект,transport,4,276100000
1755,1755,4,170.0,13.0,3.0,108.5,,6,ЦАО,р-н Хамовники,Спортивная,walk,10,190000000
1756,1756,19,168.1,6.1,5.0,0.0,f,41,САО,р-н Хорошевский,Аэропорт,walk,12,120569530
1757,1757,8,62.0,0.0,3.0,39.0,f,9,ЗАО,р-н Кунцево,Кунцевская,walk,8,18800000
1758,1758,3,45.5,19.5,1.0,14.0,f,10,ЗАО,м. Павшино,Павшино,transport,24,23132200
1759,1759,5,415.0,20.0,6.0,0.0,f,8,ЦАО,р-н Хамовники,Киевская,walk,12,381069184
1760,1760,5,193.0,0.0,3.0,0.0,f,5,ЦАО,р-н Замоскворечье,Новокузнецкая,walk,9,170000000
1761,1761,8,38.0,6.0,1.0,21.0,f,9,СВАО,р-н Лосиноостровский,Медведково,transport,5,11590000
1762,1762,11,19.1,3.1,0.0,8.5,f,64,СЗАО,р-н Хорошево-Мневники,Хорошёвская,transport,5,11371140
1763,1763,3,148.5,17.0,2.0,42.0,t,9,ЦАО,р-н Тверской,Маяковская,walk,2,230000000
1764,1764,30,83.5,0.0,4.0,39.8,f,42,ЮЗАО,р-н Котловка,Нагорная,walk,20,40923350
1765,1765,9,35.9,0.0,1.0,0.0,f,17,ЮЗАО,р-н Южное Бутово,Щербинка,walk,19,7946543
1766,1766,4,23.1,5.0,0.0,8.8,f,30,ЮЗАО,р-н Южное Бутово,Бунинская аллея,walk,18,7655667
1767,1767,21,58.33,0.0,2.0,24.1,f,43,САО,р-н Савеловский,Дмитровская,walk,4,28520054
1768,1768,19,61.6,5.2,2.0,44.3,f,24,ЗАО,р-н Солнцево,Солнцево,transport,4,18467803
1769,1769,17,20.1,0.0,0.0,0.0,f,17,ВАО,р-н Метрогородок,Бульвар Рокоссовского,transport,6,9445763
1770,1770,9,39.0,8.6,1.0,20.9,f,12,ЮВАО,р-н Марьино,Курьяново,walk,13,9380000
1771,1771,1,26.2,5.0,0.0,11.8,t,8,СВАО,р-н Бибирево,Алтуфьево,transport,7,5876640
1772,1772,6,71.3,8.8,3.0,57.5,t,29,ЮЗАО,р-н Черемушки,Новые Черёмушки,walk,11,22388200
1773,1773,9,180.0,25.0,4.0,0.0,t,9,ЦАО,р-н Хамовники,Парк Культуры,walk,8,108000000
1774,1774,10,40.0,5.8,2.0,23.7,f,12,ЗАО,р-н Можайский,Рабочий посёлок,walk,12,13500000
1775,1775,13,37.8,16.9,1.0,10.4,,16,НАО (Новомосковский),м. Потапово,Потапово,walk,14,9990000
1776,1776,24,129.2,0.0,4.0,87.1,f,24,ЗАО,р-н Фили-Давыдково,Кунцевская,walk,10,57558600
1777,1777,8,38.5,7.0,1.0,19.0,f,17,СВАО,р-н Марфино,Улица Милашенкова,walk,8,13400000
1778,1778,3,228.0,20.0,5.0,0.0,f,6,ЦАО,р-н Хамовники,Парк Культуры,walk,6,138000000
1779,1779,30,384.0,0.0,6.0,0.0,f,31,ЗАО,р-н Тропарево-Никулино,Тропарёво,walk,10,367295599
1780,1780,9,160.0,24.0,6.0,90.0,f,10,НАО (Новомосковский),м. Тёплый Стан,Тёплый Стан,transport,9,34700000
1781,1781,4,90.0,26.0,3.0,46.0,,6,ЮАО,р-н Даниловский,Технопарк,walk,14,30900000
1782,1782,26,120.5,30.9,5.0,58.8,f,30,ЗАО,р-н Очаково-Матвеевское,Аминьевская,walk,13,65924706
1783,1783,7,36.38,14.0,1.0,0.0,f,54,СЗАО,р-н Хорошево-Мневники,Полежаевская,walk,14,22262123
1784,1784,27,47.26,0.0,1.0,13.2,f,28,ЮАО,р-н Нагатино-Садовники,Нагатинская,walk,4,23954676
1785,1785,15,218.17,0.0,5.0,0.0,t,20,ЦАО,р-н Пресненский,Краснопресненская,walk,1,239935730
1786,1786,2,85.6,15.5,2.0,34.6,f,14,ЦАО,р-н Якиманка,Полянка,transport,2,156750000
1787,1787,29,85.98,0.0,3.0,34.3,f,43,САО,р-н Савеловский,Дмитровская,walk,4,40541139
1788,1788,19,537.0,50.0,6.0,0.0,,22,ЗАО,р-н Раменки,Ломоносовский проспект,walk,15,260000000
1789,1789,5,45.1,5.5,2.0,30.6,,5,ВАО,р-н Перово,Кусково,walk,13,12640000
1790,1790,11,48.8,8.9,2.0,32.1,,12,ЮАО,р-н Царицыно,Царицыно,walk,12,11700000
1791,1791,6,59.9,0.0,1.0,0.0,t,9,ЦАО,р-н Таганский,Китай-город,walk,12,50100000
1792,1792,6,189.2,0.0,4.0,0.0,f,32,СЗАО,р-н Щукино,Щукинская,walk,18,82000000
1793,1793,3,50.5,8.4,2.0,31.0,,9,ЮАО,р-н Даниловский,Автозаводская,walk,1,22300000
1794,1794,4,24.5,0.0,0.0,0.0,f,24,САО,р-н Тимирязевский,Окружная,walk,12,9278276
